Artist,:es,:en
6 Voltios,"6 Voltios es una banda peruana de punk-rock / ska-punk formada en 1998, cuya formación clásica estuvo compuesta por Alexis Korfiatis, Emilio Bruce y Mauricio Llona. La banda alcanzó la popularidad en 1999, año en que lanzaron su primer álbum 'Desde el Sótano' llegando a ser una de las más representativas del género. 6 Voltios ha publicado al menos 6 discos de estudio, todos con aceptación del público peruano y de América Latina. Ha ofrecido conciertos por todo el Perú.  El nombre 6 Voltios fue elegido porque en los inicios de la banda, cuando tocaban en el colegio, eran seis integrantes. Las letras de sus canciones tratan sobre desamor y vivencias.","6 Voltios is a Peruvian punk rock band formed in 1998 that currently consists of Alexis Korfiatis, Marcel Caillaux and Mauritius Llona. The band won popularity since 1999, when they released their debut-album Desde el sótano. 6 Voltios has released 6 studio albums, all with the approval of the Peruvian and Latin population."
Abelardo Vásquez,"Abelardo Vasquez nació en Lima el 2 de enero de 1929. Hijo del legendario Porfirio Vásquez. Estuvo casado con Marilu Loncharich. Gran amigo del compositor Manuel Acosta Ojeda.  En 1984, crea la Peña 'Don Porfirio' en la esquina de Bolognesi y Segura en Barranco.  Abelardo fallece el 24 de abril del 2001 en Lima. Sus restos fueron velados en su domicilio del distrito de Barranco.","Abelardo Vasquez was born in Lima on January 2, 1929. Son of legendary Porfirio Vasquez. He was married with Marilu Loncharich and was a great friend of the composer Manuel Acosta Ojeda.  In 1984, he created the 'Peña Don Porfirio' at the corner of Bolognesi and Segura in Barranco. Abelardo died on April 24, 2001 in Lima. His remains were veiled in his home district of Barranco."
Aeropajitas,"[De la web de Aeropajitas]'Hacemos raw rockanroll panq desde 1994 en Lima, Perú. ¿Y tú?'","[From Aeropajitas website]'We make raw 'rockanroll panq' since 1994 in Lima, Peru.  And you?"
"Alfredo Leturia y Carlos Hayre","Don Alfredo Eugenio Leturia Almenara (1916-2002), fue un distinguido cantor de nuestra canción criolla, nació en el Jirón García Naranjo, distrito de la Victoria (Lima) el 03 de Setiembre de 1916. // Carlos Hayre (1932-2012) nació en Barranco, Lima. Su carrera como guitarrista se inició a comienzo de los sesenta. Fue seguidor de la corriente armónica, introducida en el piano por Lorenzo Humberto Sotomayor en los cuarenta y en la guitarra por Lucho Garland en los cincuenta. En esta línea se convirtió en el mayor innovador dentro de la música criolla.  En sus composiciones introdujo armonías y arreglos modernos de jazz y bossa nova, y el uso del cajón en los valses criollos. También destaca por ser un músico multifacético ya que tiene dominio sobre otros instrumentos como la mandolina.","Don Alfredo Eugenio Leturia Almenara (1916-2002), was a distinguished singer of our folk song, he was born in Jiron Garcia Naranjo district of Victoria (Lima) on 03 September 1916. // Carlos Hayre (1932-2012) was born in Barranco, Lima. His career as a guitarist began in the early sixties. He was a follower of the harmonic current introduced into the piano by Lorenzo Humberto Sotomayor in the forties and guitar by Lucho Garland in the fifties. In this line he became the biggest innovator in folk music. In his compositions and harmonies he introduced modern arrangements of jazz and bossa nova, and use of 'Cajón' in the waltzes . He also stands out as a multifaceted musician and who has dominion over other instruments like the mandolin."
Andrés Prado,"Andrés Prado es un referente de la Guitarra Jazz en el Perú, cómo músico y profesor, su nombre ha ganado un gran prestigio en nuestra escena musical.","Andrés Prado is a reference of Jazz Guitar in Peru, as a musician and teacher, his name has gained great prestige in our music scene."
Arena Hash,"Arena Hash fue una banda peruana de rock formada en 1986 por Pedro Suárez-Vértiz como voz y guitarra, Patricio Suárez-Vértiz en el bajo, Christian Meier en los teclados y Arturo Pomar Jr. en la batería.","Arena Hash was a Peruvian rock band formed in 1986 by Pedro Suarez-Vértiz as voice and guitar, Patricio Suarez-Vértiz on bass, Christian Meier on keyboards and Arturo Pomar Jr. on drums."
"Arturo 'Zambo' Cavero","Arturo Cavero Velásquez (Lima, 29 de noviembre de 1940 - † Lima, 9 de octubre de 2009), más conocido como el 'Zambo' Cavero, fue un cantante peruano de música criolla.  El Zambo Cavero es considerado por muchos peruanos como un símbolo de la identidad peruana o más propiamente de la misma peruanidad, por el peculiar tono de su voz y su manera muy particular de interpretar la música criolla, cautivando a amantes y conocedores.  Como resultado de su larga y prolífica trayectoria profesional, el Zambo Cavero ha sabido granjearse el cariño y la admiración del pueblo peruano.
Algunas de las mejores interpretaciones del Zambo Cavero son las compuestas por el compositor peruano Augusto Polo Campos, todas interpretadas formando duo con el guitarrista Óscar Avilés.  El 3 de junio de 1987, el zambo Cavero, fue laureado conjuntamente con otros cuatro artistas peruanos: Luis Abanto Morales, Jesús Vásquez y Augusto Polo Campos en Washington D.C. por la Organización de los Estados Americanos, OEA. Organización que honró sus méritos por las contribuciones para que la música peruana estableciera la presencia sólida que obstenta en el continente americano y en el resto del mundo.","Arturo Cavero Velasquez (Lima, November 29, 1940 - † Lima, October 9, 2009), better known as the 'Zambo' Cavero, was a Peruvian Creole music singer. The Zambo Cavero is considered by many Peruvians as a symbol of the Peruvian identity or more properly the 'peruvianity', by the peculiar tone of his voice and his very special way to play folk music, captivating fashion lovers and connoisseurs. As a result of his long and prolific career, the Zambo Cavero has managed to garner the affection and admiration of the Peruvian people.  Some of the best performances of Zambo Cavero are compounded by the Peruvian composer Augusto Polo Campos, all performed in a duo with the guitarist Óscar Avilés. On June 3, 1987, Zambo Cavero was laureate together with four other Peruvian artists: Luis Abanto Morales, Jesus Vásquez and Augusto Polo Campos in Washington DC by the Organization of American States, OAS(OEA).  The organization honored its merits for their contributions to Peruvian music establishment as a solid presence in the Americas and elsewhere."
Ascesis Nativa,"Banda de Reggae formada en el año 2000.","Reggae band formed in 2000."
Asmereir,"Asmereir (1996-) es un trío de hardcore, considerado como una de las bandas más influyentes de la escena hardcore punk de Lima. Su estilo base es el hardcore punk pero a menudo sus canciones combinan el ska, el crust y el reggae en bruscos cambios de sonido. Desde el año 2001, se presentan esporádicamente en Lima en pequeños shows.","Asmereir ( 1996- ) is a hardcore trio, considered one of the most influential bands of the hardcore punk scene of Lima. Its base is the hardcore punk style but often their songs combine ska, reggae crust and sudden changes in sound. Since 2001, they appear sporadically in Lima in small shows."
Bareto,"Bareto es un grupo de música tropical alternativa nominado al Latin Grammy 2012, que combina la cumbia, el ska, el reggae, el dub, la salsa y el merengue.  Una de sus giras los llevó a Estados Unidos, donde tuvieron lleno total en Washington DC, New York, Connecticut y San Francisco, además de participar en el festival South by Southwest en Austin, Texas. Han tocado también Brasil y en Japón.","Bareto is a group of alternative tropical music, nominated to the Latin Grammy in 2012, which combines cumbia, ska, reggae, dub, salsa and merengue. One of his tours brought them to the US, where they had full house in Washington DC, New York, Connecticut and San Francisco, as well as participating in the South by Southwest festival in Austin, Texas. They have also played Brazil and Japan."